Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Methodology,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
2022-10-17,"03: Good Health and Well-being; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land",2021-01-01,2021-11-30,2348,Motion Energy EV Industry Charger Project,Australia,Transport,VM0038,128,1,13861-531686655-531686655-VCS-VCU-263-VER-AU-7-2348-01012021-30112021-1,"03: Good Health and Well-being; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land",2023-01-13,JOLT Charge Pty Ltd,Other,Clean Futures
2022-10-17,"03: Good Health and Well-being; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land",2021-01-01,2021-11-30,2348,Motion Energy EV Industry Charger Project,Australia,Transport,VM0038,128,114,13861-531686656-531686769-VCS-VCU-263-VER-AU-7-2348-01012021-30112021-1,"03: Good Health and Well-being; 07: Affordable and Clean Energy; 08: Decent Work and Economic Growth; 09: Industry, Innovation and Infrastructure; 11: Sustainable Cities and Communities; 12: Responsible Consumption and Production; 13: Climate Action; 14: Life Below Water; 15: Life on Land",2023-08-09,Zilch Forwarding Pty Ltd,Retirement for Person or Organization,Retirement is solely for the purposes of contribution & support by Zilch Forwarding. This retirement will not be used by Zilch Forwarding towards a carbon neutrality of offset claim
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",500,4147-176338408-176338907-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-10-13,,NCOS Programme,
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","5,880",4147-176338908-176344787-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-10-14,,NCOS Programme,
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",814,4147-176344788-176345601-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-10-25,,Environmental Benefit,
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",20,4147-176345602-176345621-VCU-016-MER-AU-14-641-16042012-15042013-0,,2017-12-19,,,
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","20,000",4147-176349602-176369601-VCU-016-MER-AU-14-641-16042012-15042013-0,,2017-01-13,,,
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","1,270",4147-176345622-176346891-VCU-016-MER-AU-14-641-16042012-15042013-0,,2020-05-21,Meridian Energy Australia,NCOS Programme,Offsets retired for Meridian Energy Australia organisation accreditation
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","19,435",4147-176369602-176389036-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-06-29,,,
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","8,974",4147-176293796-176302769-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-07-05,,Other,Provision of Carbon Credits for Castrol Vecton
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","14,125",4147-176302770-176316894-VCU-016-MER-AU-14-641-16042012-15042013-0,,2017-05-15,,Other,Cancelled on behalf of Castrol Vecton’s NCOS certification FY2017
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","15,596",4147-176316895-176332490-VCU-016-MER-AU-14-641-16042012-15042013-0,,2018-06-29,,,
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","2,149",4147-176332491-176334639-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-12-31,BPTN,Other,On behalf of Castrol Vecton Australia
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","1,000",4147-176334640-176335639-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-10-25,Brickworks,Other,On behalf of Austral Bricks Pty Ltd's carbon neutral certification under the National Carbon Offset Standard for the FY2020 and FY2021
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","2,000",4147-176335640-176337639-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-10-25,Zoos Victoria,Other,‘For Zoos Victoria’s carbon neutral certification under the National Carbon Offset Standard’
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",140,4147-176337640-176337779-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-10-25,Frasers Property Australia,Other,"Retired on behalf of Henry Deane, 20 Lee Street, for NCOS building certification using the NABERS rating"
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",571,4147-176337780-176338350-VCU-016-MER-AU-14-641-16042012-15042013-0,,2019-11-19,,,
2015-11-03,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","2,710",4147-176346892-176349601-VCU-016-MER-AU-14-641-16042012-15042013-0,,2020-05-21,Powershop Australia Pty Ltd,NCOS Programme,Offsets retired for Powershop electricity product accreditation
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435",100,4014-172081781-172081880-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-12-10,,,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","3,000",4014-172081881-172084880-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-03-09,,Retirement for Person or Organization,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","1,494",4014-172104189-172105682-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-04-03,,Retirement for Person or Organization,
2015-08-07,,2012-04-16,2013-04-15,641,Redd Forests Grouped Project: Protection of Tasmanian Native Forest,Australia,Agriculture Forestry and Other Land Use,VM0010,"155,435","4,900",4014-172084881-172089780-VCU-016-MER-AU-14-641-16042012-15042013-0,,2016-12-10,,,
