Issuance Date,Sustainable Development Goals,Vintage Start,Vintage End,ID,Name,Country/Area,Project Type,Methodology,Total Vintage Quantity,Quantity Issued,Serial Number,Additional Certifications,Retirement/Cancellation Date,Retirement Beneficiary,Retirement Reason,Retirement Details
2024-02-02,,2021-01-01,2021-12-31,1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,Energy industries (renewable/non-renewable sources),AM0029,"243,482",427,16257-751880934-751881360-VCS-VCU-997-VER-SG-1-1736-01012021-31122021-0,,2024-06-03,,,
2024-02-02,,2021-01-01,2021-12-31,1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,Energy industries (renewable/non-renewable sources),AM0029,"243,482","5,000",16257-751883364-751888363-VCS-VCU-997-VER-SG-1-1736-01012021-31122021-0,,2024-06-27,,,
2024-02-02,,2021-01-01,2021-12-31,1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,Energy industries (renewable/non-renewable sources),AM0029,"243,482",222,16257-751881361-751881582-VCS-VCU-997-VER-SG-1-1736-01012021-31122021-0,,2024-07-01,,,
2024-02-02,,2021-01-01,2021-12-31,1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,Energy industries (renewable/non-renewable sources),AM0029,"243,482",585,16257-751881583-751882167-VCS-VCU-997-VER-SG-1-1736-01012021-31122021-0,,2024-08-01,,,
2024-02-02,,2021-01-01,2021-12-31,1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,Energy industries (renewable/non-renewable sources),AM0029,"243,482",643,16257-751882168-751882810-VCS-VCU-997-VER-SG-1-1736-01012021-31122021-0,,2024-09-02,,,
2024-02-02,,2021-01-01,2021-12-31,1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,Energy industries (renewable/non-renewable sources),AM0029,"243,482",528,16257-751882811-751883338-VCS-VCU-997-VER-SG-1-1736-01012021-31122021-0,,2024-10-01,,,
2024-02-02,,2021-01-01,2021-12-31,1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,Energy industries (renewable/non-renewable sources),AM0029,"243,482",25,16257-751883339-751883363-VCS-VCU-997-VER-SG-1-1736-01012021-31122021-0,,2024-11-01,,,
2022-09-29,,2017-01-01,2017-12-31,1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,Energy industries (renewable/non-renewable sources),AM0029,"203,481","2,500",13802-527835594-527838093-VCS-VCU-997-VER-SG-1-1736-01012017-31122017-0,,2023-04-02,Stifel Financial Corp,Retirement for Person or Organization,Stifel Financial Corp
2022-09-29,,2017-01-01,2017-12-31,1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,Energy industries (renewable/non-renewable sources),AM0029,"203,481","28,510",13802-527922480-527950989-VCS-VCU-997-VER-SG-1-1736-01012017-31122017-0,,2023-05-15,,,
2022-09-29,,2017-01-01,2017-12-31,1736,Grid connected electricity generation plant using natural gas at Jurong Island in Singapore,Singapore,Energy industries (renewable/non-renewable sources),AM0029,"203,481","8,000",13802-527838094-527846093-VCS-VCU-997-VER-SG-1-1736-01012017-31122017-0,,2023-05-02,Flock Freight,Retirement for Person or Organization,On behalf of Flock Freight
